profil_id,profil_name,breite_mm,hoehe_mm,angebotspreis_eur,preisempfehlung_eur,faktor_check
p1,MB-45 (Nur Innenbereich),440,1700,437.68,729.46,0.6
p1,MB-45 (Nur Innenbereich),440,1800,433.94,723.23,0.6
p1,MB-45 (Nur Innenbereich),440,1900,463.66,772.76,0.6
p1,MB-45 (Nur Innenbereich),440,2000,474.95,791.59,0.6
p1,MB-45 (Nur Innenbereich),440,2100,492.23,820.39,0.6
p1,MB-45 (Nur Innenbereich),440,2200,503.92,839.86,0.6
p1,MB-45 (Nur Innenbereich),440,2300,516.04,860.06,0.6
p1,MB-45 (Nur Innenbereich),440,2400,535.16,891.94,0.6
p1,MB-45 (Nur Innenbereich),550,1700,423.27,705.45,0.6
p1,MB-45 (Nur Innenbereich),550,1800,419.66,699.43,0.6
p1,MB-45 (Nur Innenbereich),550,1900,451.36,752.27,0.6
p1,MB-45 (Nur Innenbereich),550,2000,465.94,776.56,0.6
p1,MB-45 (Nur Innenbereich),550,2100,486.43,810.72,0.6
p1,MB-45 (Nur Innenbereich),550,2200,501.46,835.77,0.6
p1,MB-45 (Nur Innenbereich),550,2300,516.04,860.06,0.6
p1,MB-45 (Nur Innenbereich),550,2400,535.16,891.94,0.6
p1,MB-45 (Nur Innenbereich),650,1700,439.06,731.77,0.6
p1,MB-45 (Nur Innenbereich),650,1800,439.06,731.77,0.6
p1,MB-45 (Nur Innenbereich),650,1900,472.31,787.19,0.6
p1,MB-45 (Nur Innenbereich),650,2000,487.34,812.24,0.6
p1,MB-45 (Nur Innenbereich),650,2100,508.3,847.16,0.6
p1,MB-45 (Nur Innenbereich),650,2200,523.78,872.97,0.6
p1,MB-45 (Nur Innenbereich),650,2300,538.36,897.26,0.6
p1,MB-45 (Nur Innenbereich),650,2400,557.94,929.9,0.6
p1,MB-45 (Nur Innenbereich),750,1700,457.74,762.9,0.6
p1,MB-45 (Nur Innenbereich),750,1800,457.74,762.9,0.6
p1,MB-45 (Nur Innenbereich),750,1900,491.44,819.07,0.6
p1,MB-45 (Nur Innenbereich),750,2000,506.47,844.12,0.6
p1,MB-45 (Nur Innenbereich),750,2100,527.88,879.8,0.6
p1,MB-45 (Nur Innenbereich),750,2200,543.37,905.61,0.6
p1,MB-45 (Nur Innenbereich),750,2300,558.85,931.42,0.6
p1,MB-45 (Nur Innenbereich),750,2400,578.44,964.06,0.6
p1,MB-45 (Nur Innenbereich),850,1700,476.41,794.02,0.6
p1,MB-45 (Nur Innenbereich),850,1800,476.41,794.02,0.6
p1,MB-45 (Nur Innenbereich),850,1900,510.57,850.95,0.6
p1,MB-45 (Nur Innenbereich),850,2000,526.06,876.76,0.6
p1,MB-45 (Nur Innenbereich),850,2100,547.46,912.44,0.6
p1,MB-45 (Nur Innenbereich),850,2200,563.86,939.77,0.6
p1,MB-45 (Nur Innenbereich),850,2300,579.35,965.58,0.6
p1,MB-45 (Nur Innenbereich),850,2400,599.39,998.98,0.6
p1,MB-45 (Nur Innenbereich),950,1700,501.92,836.53,0.6
p1,MB-45 (Nur Innenbereich),950,1800,501.92,836.53,0.6
p1,MB-45 (Nur Innenbereich),950,1900,536.08,893.46,0.6
p1,MB-45 (Nur Innenbereich),950,2000,552.02,920.03,0.6
p1,MB-45 (Nur Innenbereich),950,2100,574.34,957.23,0.6
p1,MB-45 (Nur Innenbereich),950,2200,590.73,984.55,0.6
