profil_id,profil_name,breite_mm,hoehe_mm,angebotspreis_eur,preisempfehlung_eur,grundpreis_eur,faktor_check
p1,Softline-68 (Kiefer),330,350,120.94,201.56,0,0.6
p1,Softline-68 (Kiefer),330,550,193.05,321.75,0,0.6
p1,Softline-68 (Kiefer),330,800,196.59,327.65,0,0.6
p1,Softline-68 (Kiefer),330,1050,222.91,371.52,0,0.6
p1,Softline-68 (Kiefer),330,1300,246.23,410.38,0,0.6
p1,Softline-68 (Kiefer),330,1600,282.8,471.33,0,0.6
p1,Softline-68 (Kiefer),330,1900,318.6,531.0,0,0.6
p1,Softline-68 (Kiefer),330,2200,353.73,589.55,0,0.6
p1,Softline-68 (Kiefer),330,2400,376.19,626.99,0,0.6
p1,Softline-68 (Kiefer),500,350,194.11,323.52,0,0.6
p1,Softline-68 (Kiefer),500,550,181.38,302.3,0,0.6
p1,Softline-68 (Kiefer),500,800,184.7,307.84,0,0.6
p1,Softline-68 (Kiefer),500,1050,209.44,349.06,0,0.6
p1,Softline-68 (Kiefer),500,1300,231.34,385.57,0,0.6
p1,Softline-68 (Kiefer),500,1600,265.7,442.83,0,0.6
p1,Softline-68 (Kiefer),500,1900,299.34,498.9,0,0.6
p1,Softline-68 (Kiefer),500,2200,337.13,561.89,0,0.6
p1,Softline-68 (Kiefer),500,2400,363.25,605.42,0,0.6
p1,Softline-68 (Kiefer),700,350,190.55,317.59,0,0.6
p1,Softline-68 (Kiefer),700,550,178.06,296.76,0,0.6
p1,Softline-68 (Kiefer),700,800,184.22,307.04,0,0.6
p1,Softline-68 (Kiefer),700,1050,218.84,364.74,0,0.6
p1,Softline-68 (Kiefer),700,1300,240.9,401.5,0,0.6
p1,Softline-68 (Kiefer),700,1600,282.46,470.77,0,0.6
p1,Softline-68 (Kiefer),700,1900,324.38,540.63,0,0.6
p1,Softline-68 (Kiefer),700,2200,368.11,613.52,0,0.6
p1,Softline-68 (Kiefer),700,2400,397.88,663.13,0,0.6
p1,Softline-68 (Kiefer),900,350,210.95,351.59,0,0.6
p1,Softline-68 (Kiefer),900,550,197.12,328.53,0,0.6
p1,Softline-68 (Kiefer),900,800,206.76,344.6,0,0.6
p1,Softline-68 (Kiefer),900,1050,250.57,417.61,0,0.6
p1,Softline-68 (Kiefer),900,1300,281.86,469.76,0,0.6
p1,Softline-68 (Kiefer),900,1600,331.67,552.78,0,0.6
p1,Softline-68 (Kiefer),900,1900,382.09,636.81,0,0.6
p1,Softline-68 (Kiefer),900,2200,433.11,721.85,0,0.6
p1,Softline-68 (Kiefer),900,2400,466.52,777.53,0,0.6
p1,Softline-68 (Kiefer),1100,350,234.14,390.23,0,0.6
p1,Softline-68 (Kiefer),1100,550,218.78,364.63,0,0.6
p1,Softline-68 (Kiefer),1100,800,232.21,387.01,0,0.6
p1,Softline-68 (Kiefer),1100,1050,285.5,475.83,0,0.6
p1,Softline-68 (Kiefer),1100,1300,323.77,539.62,0,0.6
p1,Softline-68 (Kiefer),1100,1600,381.47,635.79,0,0.6
p1,Softline-68 (Kiefer),1100,1900,439.79,732.99,0,0.6
p1,Softline-68 (Kiefer),1100,2200,496.89,828.15,0,0.6
p1,Softline-68 (Kiefer),1100,2400,535.16,891.93,0,0.6
p1,Softline-68 (Kiefer),1300,350,256.37,427.28,0,0.6
p1,Softline-68 (Kiefer),1300,550,239.56,399.26,0,0.6
p1,Softline-68 (Kiefer),1300,800,259.38,432.3,0,0.6
p1,Softline-68 (Kiefer),1300,1050,323.77,539.62,0,0.6
p1,Softline-68 (Kiefer),1300,1300,366.29,610.48,0,0.6
