profil,profil_id,breite_mm,hoehe_mm,flaeche_m2,grundpreis_eur,preisempfehlung_eur,angebotspreis_eur,rabatt_faktor
GEALAN S8000,p1,400,400,0.16,76.7,79.13,47.48,0.6
GEALAN S8000,p1,400,500,0.2,76.7,79.13,47.48,0.6
GEALAN S8000,p1,400,600,0.24,100.04,102.47,61.48,0.6
GEALAN S8000,p1,400,700,0.28,106.71,109.14,65.48,0.6
GEALAN S8000,p1,400,800,0.32,116.72,119.15,71.49,0.6
GEALAN S8000,p1,400,900,0.36,126.72,129.15,77.49,0.6
GEALAN S8000,p1,400,1000,0.4,138.39,140.82,84.49,0.6
GEALAN S8000,p1,400,1100,0.44,148.4,150.83,90.5,0.6
GEALAN S8000,p1,400,1200,0.48,160.07,162.5,97.5,0.6
GEALAN S8000,p1,400,1300,0.52,161.74,164.16,98.5,0.6
GEALAN S8000,p1,400,1400,0.56,168.41,170.83,102.5,0.6
GEALAN S8000,p1,400,1500,0.6,176.74,179.27,107.56,0.6
GEALAN S8000,p1,400,1600,0.64,183.41,186.12,111.67,0.6
GEALAN S8000,p1,400,1800,0.72,198.42,201.49,120.89,0.6
GEALAN S8000,p1,400,2000,0.8,215.09,218.53,131.12,0.6
GEALAN S8000,p1,500,400,0.2,76.7,79.13,47.48,0.6
GEALAN S8000,p1,500,500,0.25,76.7,79.13,47.48,0.6
GEALAN S8000,p1,500,600,0.3,100.04,102.47,61.48,0.6
GEALAN S8000,p1,500,700,0.35,106.71,109.14,65.48,0.6
GEALAN S8000,p1,500,800,0.4,116.72,119.15,71.49,0.6
GEALAN S8000,p1,500,900,0.45,126.72,129.15,77.49,0.6
GEALAN S8000,p1,500,1000,0.5,138.39,140.82,84.49,0.6
GEALAN S8000,p1,500,1100,0.55,148.4,150.83,90.5,0.6
GEALAN S8000,p1,500,1200,0.6,160.07,162.72,97.63,0.6
GEALAN S8000,p1,500,1300,0.65,161.74,164.63,98.78,0.6
GEALAN S8000,p1,500,1400,0.7,168.41,171.54,102.92,0.6
GEALAN S8000,p1,500,1500,0.75,176.74,180.12,108.07,0.6
GEALAN S8000,p1,500,1600,0.8,183.41,187.03,112.22,0.6
GEALAN S8000,p1,500,1800,0.9,198.42,202.52,121.51,0.6
GEALAN S8000,p1,500,2000,1.0,215.09,219.68,131.81,0.6
GEALAN S8000,p1,600,400,0.24,101.71,104.14,62.48,0.6
GEALAN S8000,p1,600,500,0.3,101.71,104.14,62.48,0.6
GEALAN S8000,p1,600,600,0.36,106.71,109.14,65.48,0.6
GEALAN S8000,p1,600,700,0.42,118.39,120.81,72.49,0.6
GEALAN S8000,p1,600,800,0.48,130.06,132.48,79.49,0.6
GEALAN S8000,p1,600,900,0.54,143.4,145.82,87.49,0.6
GEALAN S8000,p1,600,1000,0.6,155.07,157.78,94.67,0.6
GEALAN S8000,p1,600,1100,0.66,166.74,169.76,101.86,0.6
GEALAN S8000,p1,600,1200,0.72,180.08,183.4,110.04,0.6
GEALAN S8000,p1,600,1300,0.78,190.08,193.7,116.22,0.6
GEALAN S8000,p1,600,1400,0.84,201.76,205.68,123.41,0.6
