kategorie,beschreibung,option_id,option_name,angebotspreis_eur,preisempfehlung_eur,aufpreis_angebot_eur,aufpreis_empfehlung_eur
material,Material type,ma1,Kunststoff (PVC),47.48,79.13,0.0,0.0
material,Material type,ma5,Kunststoff-Aluminium,47.48,79.13,0.0,0.0
material,Material type,ma2,Aluminium,47.48,79.13,0.0,0.0
material,Material type,ma3,Holz,47.48,79.13,0.0,0.0
material,Material type,ma4,Holz-Aluminium,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h1,DRUTEX,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h3,Salamander,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h8,aluplast,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h7,GEALAN,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h9,REHAU,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h2,VEKA,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h6,TROCAL,47.48,79.13,0.0,0.0
hersteller,Manufacturer,h5,Kömmerling,47.48,79.13,0.0,0.0
blendrahmen,Frame profile width,br_1,Blendrahmenprofil 66mm,47.48,79.13,0.0,0.0
blendrahmen,Frame profile width,br_2,Blendrahmenprofil 74mm,65.02,108.36,17.54,29.23
blendrahmen,Frame profile width,br_3,Blendrahmenprofil 81mm,70.29,117.15,22.81,38.02
fluegel,Sash profile,fl_1,78mm Standard,47.48,79.13,0.0,0.0
fluegel,Sash profile,fl_3,78mm 8063 halbflächenversetzt,61.59,102.65,14.11,23.52
fensterart,Window type (number of sashes),a1,Einflügliges Fenster,47.48,79.13,0.0,0.0
fensterart,Window type (number of sashes),a2,Zweiflügliges Fenster,47.48,79.13,0.0,0.0
fensterart,Window type (number of sashes),a3,Dreiflügliges Fenster,47.48,79.13,0.0,0.0
fenstertyp,Window type with lights,typ1,Einflügliges Fenster,47.48,79.13,0.0,0.0
fenstertyp,Window type with lights,typ1o1,Oberlicht Einerteilung,47.48,79.13,0.0,0.0
