# Drutex Kunststoff Base Price Matrix (Preisempfehlung in EUR)
# Profile: Iglo 5 Classic (p1) | Color: White | Glass: 2-fach (g1) | V-Perfect: ON
# Formula: Angebotspreis = Preisempfehlung * 0.60 (40% Rabatt)
# Captured: 2026-03-02

PREISEMPFEHLUNG (EUR)
Width_mm \ Height_mm,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1800,2000
500,225.78,221.62,218.15,215.20,223.30,249.95,259.73,268.66,277.60,286.57,297.22,306.17,0.00,0.00
600,221.62,217.52,214.13,211.23,219.17,245.34,254.93,263.70,272.48,281.28,291.73,300.52,0.00,0.00
700,218.15,214.13,210.78,219.23,229.50,255.95,264.42,274.60,283.12,293.31,303.37,314.85,0.00,0.00
800,215.20,211.23,219.23,229.13,239.10,270.10,279.94,288.99,300.09,312.38,324.69,336.98,0.00,0.00
900,228.63,224.42,233.80,243.35,253.84,285.10,294.65,307.46,317.30,332.06,344.36,358.30,0.00,0.00
1000,243.79,239.29,249.16,258.35,269.35,300.91,314.02,327.14,340.26,353.38,366.50,380.44,0.00,0.00
1100,252.75,248.09,259.37,269.97,279.06,314.02,327.97,341.09,355.84,369.78,382.08,396.01,0.00,0.00
1200,262.61,257.76,267.93,279.11,291.89,327.97,341.09,355.84,369.78,384.53,398.48,414.05,0.00,0.00
1300,273.32,268.27,276.50,290.25,305.83,341.90,353.38,370.60,383.72,400.12,415.69,431.27,0.00,0.00
1400,282.32,277.10,286.74,304.19,318.13,355.02,367.32,384.53,399.29,416.52,430.45,446.85,0.00,0.00
1500,291.31,285.93,298.45,317.30,330.42,368.96,381.26,398.48,414.05,432.91,446.03,463.24,0.00,0.00
1600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

ANGEBOTSPREIS (EUR) = Preisempfehlung * 0.60
Width_mm \ Height_mm,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1800,2000
500,135.47,132.97,130.89,129.12,133.98,149.97,155.84,161.20,166.56,171.94,178.33,183.70,0.00,0.00
600,132.97,130.51,128.48,126.74,131.50,147.20,152.96,158.22,163.49,168.77,175.04,180.31,0.00,0.00
700,130.89,128.48,126.47,131.54,137.70,153.57,158.65,164.76,169.87,175.99,182.02,188.91,0.00,0.00
800,129.12,126.74,131.54,137.48,143.46,162.06,167.96,173.39,180.05,187.43,194.81,202.19,0.00,0.00
900,137.18,134.65,140.28,146.01,152.30,171.06,176.79,184.48,190.38,199.24,206.62,214.98,0.00,0.00
1000,146.27,143.57,149.50,155.01,161.61,180.55,188.41,196.28,204.16,212.03,219.90,228.26,0.00,0.00
1100,151.65,148.85,155.62,161.98,167.44,188.41,196.78,204.65,213.50,221.87,229.25,237.61,0.00,0.00
1200,157.57,154.66,160.76,167.47,175.13,196.78,204.65,213.50,221.87,230.72,239.09,248.43,0.00,0.00
1300,163.99,160.96,165.90,174.15,183.50,205.14,212.03,222.36,230.23,240.07,249.41,258.76,0.00,0.00
1400,169.39,166.26,172.04,182.51,190.88,213.01,220.39,230.72,239.57,249.91,258.27,268.11,0.00,0.00
