Width_mm,Height_mm,H450,H550,H650,H750,H850,H950,H1050,H1150,H1250,H1350,H1450,H1550,H1650,H1750
,,450,550,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750
600,,"224,02","219,47","215,75","212,62","220,45","246,62","256,14","264,85","273,58","282,33","292,75","301,50","322,56","0,00"
700,,"220,52","216,03","212,38","220,68","230,84","257,30","265,68","275,80","284,26","294,41","303,37","314,85","339,45","0,00"
800,,"217,52","213,11","220,89","230,65","240,51","271,52","281,28","290,25","300,09","312,38","324,69","336,98","368,14","0,00"
900,,"231,11","226,41","235,58","244,96","255,33","286,60","296,06","307,46","317,30","332,06","344,36","358,30","389,45","0,00"
1000,,"246,43","241,43","251,05","260,06","270,93","302,48","314,02","327,14","340,26","353,38","366,50","380,44","408,32","0,00"
1100,,"255,49","250,31","261,34","271,76","280,69","314,02","327,97","341,09","355,84","369,78","382,08","396,01","425,53","0,00"
1200,,"265,45","260,06","269,96","280,95","291,89","327,97","341,09","355,84","369,78","384,53","398,48","414,05","443,57","0,00"
1300,,"276,28","270,68","278,60","291,00","305,83","341,90","353,38","370,60","383,72","400,12","415,69","431,27","461,60","0,00"
1400,,"285,37","279,58","288,92","304,19","318,13","355,02","367,32","384,53","399,29","416,52","430,45","446,85","478,83","0,00"
1500,,"294,46","288,48","299,22","317,30","330,42","368,96","381,26","398,48","414,05","432,91","446,03","463,24","496,04","0,00"
